MGF01_L,MGF01_R,MGF02_L,MGF02_R,DGF298_L,DGF298_R,DGF327_L,DGF327_R
167065,172979,167065,172979,747145,753217,3918367,3923869
244301,253746,244301,253746,3918091,3969123,3932710,3938551
262300,387867,262300,387867,4281498,4291254,15445,16903
389475,404039,389475,404039,4298072,4366613,19646,20508
518366,533047,518366,533047,1130992,1142564,1098128,1117068
535841,550551,535841,550551,1396605,1520045,1296003,1308864
564277,608454,564277,608454,1582557,1592251,1359517,1368530
675440,689710,675440,689710,1607823,1624231,1396605,1399336
729157,739929,729157,739929,2361574,2382929,1424466,1438607
832889,848426,832889,848426,2836910,2855462,1467106,1483915
867975,883810,867975,883810,3058023,3068464,1504171,1520045
891335,909716,891335,909716,3258359,3269672,1522387,1543782
1049225,1097357,1049225,1097357,3730114,3742029,1592568,1599800
1198444,1225484,1198444,1225484,15445,16903,1651508,1657863
1624348,1640177,1624348,1640177,19646,20508,2091353,2091607
1963663,1992214,1963663,1992214,1098128,1117068,2289724,2293603
1995801,2027348,1995801,2027348,1296003,1308864,2411459,2412234
2032588,2043515,2032588,2043515,1359517,1368530,2494688,2513688
2068288,2081065,2068288,2081065,1396605,1399336,2519718,2523278
2103532,2115203,2103532,2115203,1424466,1438607,2909410,2909709
2145403,2186994,2145403,2186994,1467106,1483915,3183787,3188521
2199808,2228989,2199808,2228989,1504171,1520045,3746428,3751980
2255034,2262630,2255034,2262630,1522387,1543782,3871777,3914528
2385401,2394610,2385401,2394610,1592568,1599800,3987068,3989225
2422504,2433237,2422504,2433237,1651508,1657863,4447062,4453719
2471991,2481621,2471991,2481621,2091353,2091607,167065,172979
2504214,2513696,2504214,2513696,2289724,2293603,244301,253746
2754815,2788618,2754815,2788618,2411459,2412234,262300,387867
2794312,2800028,2794312,2800028,2494688,2513688,389475,404039
2803446,2809285,2803446,2809285,2519718,2523278,518366,533047
2824452,2829398,2824452,2829398,2909410,2909709,535841,550551
2909708,2910007,2909708,2910007,3183787,3188521,564277,608454
2984498,3032266,2984498,3032266,3746428,3751980,675440,689710
3076224,3078055,3076224,3078055,3871777,3914528,729157,739929
3109246,3133479,3109246,3133479,3987068,3989225,832889,848426
3164770,3172081,3164770,3172081,4447062,4453719,867975,883810
3361081,3370891,3361081,3370891,167065,172979,891335,909716
3411502,3421221,3411502,3421221,244301,253746,1049225,1097357
3486425,3496907,3486425,3496907,262300,387867,1198444,1225484
3536154,3549688,3536154,3549688,389475,404039,1624348,1640177
3556476,3576240,3556476,3576240,518366,533047,1963663,1992214
3697303,3709528,3697303,3709528,535841,550551,1995801,2027348
3762907,3772818,3762907,3772818,564277,608454,2032588,2043515
3774085,3785258,3774085,3785258,675440,689710,2068288,2081065
4003003,4021348,4003003,4021348,729157,739929,2103532,2115203
4170561,4186910,4170561,4186910,832889,848426,2145403,2186994
4239494,4255870,4239494,4255870,867975,883810,2199808,2228989
4303001,4316734,4303001,4316734,891335,909716,2255034,2262630
4318541,4334945,4318541,4334945,1049225,1097357,2385401,2394610
4414759,4428377,4414759,4428377,1198444,1225484,2422504,2433237
4501438,4514770,4501438,4514770,1624348,1640177,2471991,2481621
4523112,4604872,4523112,4604872,1963663,1992214,2504214,2513696
,,65857,78797,1995801,2027348,2754815,2788618
,,640669,659192,2032588,2043515,2794312,2800028
,,1853580,1864142,2068288,2081065,2803446,2809285
,,1875288,1888499,2103532,2115203,2824452,2829398
,,2599858,2613439,2145403,2186994,2909708,2910007
,,2876630,2876783,2199808,2228989,2984498,3032266
,,2921194,2943638,2255034,2262630,3076224,3078055
,,3224890,3240400,2385401,2394610,3109246,3133479
,,3794688,3803458,2422504,2433237,3164770,3172081
,,4055372,4061465,2471991,2481621,3361081,3370891
,,4128291,4141015,2504214,2513696,3411502,3421221
,,,,2754815,2788618,3486425,3496907
,,,,2794312,2800028,3536154,3549688
,,,,2803446,2809285,3556476,3576240
,,,,2824452,2829398,3697303,3709528
,,,,2909708,2910007,3762907,3772818
,,,,2984498,3032266,3774085,3785258
,,,,3076224,3078055,4003003,4021348
,,,,3109246,3133479,4170561,4186910
,,,,3164770,3172081,4239494,4255870
,,,,3361081,3370891,4303001,4316734
,,,,3411502,3421221,4318541,4334945
,,,,3486425,3496907,4414759,4428377
,,,,3536154,3549688,4501438,4514770
,,,,3556476,3576240,4523112,4604872
,,,,3697303,3709528,65857,78797
,,,,3762907,3772818,640669,659192
,,,,3774085,3785258,1853580,1864142
,,,,4003003,4021348,1875288,1888499
,,,,4170561,4186910,2599858,2613439
,,,,4239494,4255870,2876630,2876783
,,,,4303001,4316734,2921194,2943638
,,,,4318541,4334945,3224890,3240400
,,,,4414759,4428377,3794688,3803458
,,,,4501438,4514770,4055372,4061465
,,,,4523112,4604872,4128291,4141015
,,,,65857,78797,,
,,,,640669,659192,,
,,,,1853580,1864142,,
,,,,1875288,1888499,,
,,,,2599858,2613439,,
,,,,2876630,2876783,,
,,,,2921194,2943638,,
,,,,3224890,3240400,,
,,,,3794688,3803458,,
,,,,4055372,4061465,,
,,,,4128291,4141015,,
